; Temporary Flags
; These temporary flags are are cleared every time a map is loaded. They are used
; for things like shortening an NPCs introduction text if the player already spoke
; to them once.
0x000	TEMP_FLAGS_START
0x02D	FLAG_UNUSED_0x02D ; Unused Flag
0x02E	FLAG_UNUSED_0x02E ; Unused Flag
0x02F	FLAG_UNUSED_0x02F ; Unused Flag
0x030	FLAG_UNUSED_0x030 ; Unused Flag
0x031	FLAG_UNUSED_0x031 ; Unused Flag
0x032	FLAG_UNUSED_0x032 ; Unused Flag
0x033	FLAG_UNUSED_0x033 ; Unused Flag
0x034	FLAG_UNUSED_0x034 ; Unused Flag
0x035	FLAG_UNUSED_0x035 ; Unused Flag
0x036	FLAG_UNUSED_0x036 ; Unused Flag
0x037	FLAG_UNUSED_0x037 ; Unused Flag
0x038	FLAG_UNUSED_0x038 ; Unused Flag
0x039	FLAG_UNUSED_0x039 ; Unused Flag
0x03A	FLAG_UNUSED_0x03A ; Unused Flag
0x03B	FLAG_UNUSED_0x03B ; Unused Flag
0x03C	FLAG_UNUSED_0x03C ; Unused Flag
0x03D	FLAG_UNUSED_0x03D ; Unused Flag
0x03E	FLAG_UNUSED_0x03E ; Unused Flag
0x03F	FLAG_UNUSED_0x03F ; Unused Flag
0x040	FLAG_UNUSED_0x040 ; Unused Flag
0x041	FLAG_UNUSED_0x041 ; Unused Flag
0x042	FLAG_UNUSED_0x042 ; Unused Flag
0x043	FLAG_UNUSED_0x043 ; Unused Flag
0x044	FLAG_UNUSED_0x044 ; Unused Flag
0x045	FLAG_UNUSED_0x045 ; Unused Flag
0x046	FLAG_UNUSED_0x046 ; Unused Flag
0x047	FLAG_UNUSED_0x047 ; Unused Flag
0x048	FLAG_UNUSED_0x048 ; Unused Flag
0x049	FLAG_UNUSED_0x049 ; Unused Flag
0x04A	FLAG_UNUSED_0x04A ; Unused Flag
0x04B	FLAG_UNUSED_0x04B ; Unused Flag
0x04C	FLAG_UNUSED_0x04C ; Unused Flag
0x04D	FLAG_UNUSED_0x04D ; Unused Flag
0x04E	FLAG_UNUSED_0x04E ; Unused Flag
0x04F	FLAG_UNUSED_0x04F ; Unused Flag

; Scripts
0x050	FLAG_HIDE_SKY_PILLAR_TOP_RAYQUAZA_STILL
0x051	FLAG_SET_WALL_CLOCK
0x052	FLAG_RESCUED_BIRCH
0x053	FLAG_LEGENDARIES_IN_SOOTOPOLIS

0x054	FLAG_UNUSED_0x054 ; Unused Flag
0x055	FLAG_UNUSED_0x055 ; Unused Flag

0x056	FLAG_HIDE_CONTEST_POKE_BALL ; Always set after new game, object it hides is added directly
0x057	FLAG_MET_RIVAL_MOM
0x058	FLAG_BIRCH_AIDE_MET
0x059	FLAG_DECLINED_BIKE
0x05A	FLAG_RECEIVED_BIKE
0x05B	FLAG_WATTSON_REMATCH_AVAILABLE
0x05C	FLAG_COLLECTED_ALL_SILVER_SYMBOLS
0x05D	FLAG_GOOD_LUCK_SAFARI_ZONE ; Set after talking to NPC blocking Safari Zone entrance/exit once.
0x05E	FLAG_RECEIVED_WAILMER_PAIL
0x05F	FLAG_RECEIVED_POKEBLOCK_CASE
0x060	FLAG_RECEIVED_SECRET_POWER
0x061	FLAG_MET_TEAM_AQUA_HARBOR
0x062	FLAG_TV_EXPLAINED
0x063	FLAG_MAUVILLE_GYM_BARRIERS_STATE
0x064	FLAG_MOSSDEEP_GYM_SWITCH_1 ; Leftover from the RS version of Mossdeep Gym, functionally unused
0x065	FLAG_MOSSDEEP_GYM_SWITCH_2 ;
0x066	FLAG_MOSSDEEP_GYM_SWITCH_3 ;
0x067	FLAG_MOSSDEEP_GYM_SWITCH_4 ;

0x068	FLAG_UNUSED_0x068 ; Unused Flag

0x069	FLAG_OCEANIC_MUSEUM_MET_REPORTER
0x06A	FLAG_RECEIVED_HM04
0x06B	FLAG_RECEIVED_HM06
0x06C	FLAG_WHITEOUT_TO_LAVARIDGE ; Set after defeating Flannery, so the player cant white out from poison before receiving Go Goggles
0x06D	FLAG_RECEIVED_HM05
0x06E	FLAG_RECEIVED_HM02
0x06F	FLAG_GROUDON_AWAKENED_MAGMA_HIDEOUT
0x070	FLAG_TEAM_AQUA_ESCAPED_IN_SUBMARINE
0x071	FLAG_UNUSED_RS_LEGENDARY_BATTLE_DONE ; Unused Flag. Used in R/S to indicate whether player defeated or caught Groudon/Kyogre in Cave of Origin.
0x072	FLAG_SCOTT_CALL_BATTLE_FRONTIER ; Used in order to activate a phone call from Scott, inviting the player to the SS Tidal.
0x073	FLAG_RECEIVED_METEORITE
0x074	FLAG_ADVENTURE_STARTED ; RECEIVED Pokédex.
0x075	FLAG_DEFEATED_MAGMA_SPACE_CENTER ; Set when Team Magma is defeated at Mossdeep's Space Center.
0x076	FLAG_MET_HIDDEN_POWER_GIVER

0x077	FLAG_CANCEL_BATTLE_ROOM_CHALLENGE

0x078	FLAG_LANDMARK_MIRAGE_TOWER
0x079	FLAG_RECEIVED_TM31
0x07A	FLAG_RECEIVED_HM03
0x07B	FLAG_RECEIVED_HM08
0x07C	FLAG_REGISTER_RIVAL_POKENAV
0x07D	FLAG_DEFEATED_RIVAL_ROUTE_104
0x07E	FLAG_DEFEATED_WALLY_VICTORY_ROAD
0x07F	FLAG_MET_PRETTY_PETAL_SHOP_OWNER
0x080	FLAG_ENABLE_ROXANNE_FIRST_CALL ; Set after defeating Brawly. This will activate a call with Roxanne in order to register her.
0x081	FLAG_KYOGRE_ESCAPED_SEAFLOOR_CAVERN
0x082	FLAG_DEFEATED_RIVAL_ROUTE103
0x083	FLAG_RECEIVED_DOLL_LANETTE
0x084	FLAG_RECEIVED_POTION_OLDALE
0x085	FLAG_RECEIVED_AMULET_COIN
0x086	FLAG_PENDING_DAYCARE_EGG
0x087	FLAG_THANKED_FOR_PLAYING_WITH_WALLY
0x088	FLAG_ENABLE_FIRST_WALLY_POKENAV_CALL ; Set after defeating Wally outside Mauville Gym. Will activate a call later to register Wally.
0x089	FLAG_RECEIVED_HM01
0x08A	FLAG_SCOTT_CALL_FORTREE_GYM ; Triggers call from Scott after defeating Winona
0x08B	FLAG_DEFEATED_EVIL_TEAM_MT_CHIMNEY
0x08C	FLAG_RECEIVED_6_SODA_POP
0x08D	FLAG_DEFEATED_SEASHORE_HOUSE
0x08E	FLAG_DEVON_GOODS_STOLEN
0x08F	FLAG_RECOVERED_DEVON_GOODS
0x090	FLAG_RETURNED_DEVON_GOODS
0x091	FLAG_CAUGHT_LUGIA
0x092	FLAG_CAUGHT_HO_OH
0x093	FLAG_MR_BRINEY_SAILING_INTRO
0x094	FLAG_DOCK_REJECTED_DEVON_GOODS
0x095	FLAG_DELIVERED_DEVON_GOODS
0x096	FLAG_RECEIVED_CONTEST_PASS ; Unused, leftover from R/S
0x097	FLAG_RECEIVED_CASTFORM
0x098	FLAG_RECEIVED_SUPER_ROD
0x099	FLAG_RUSTBORO_NPC_TRADE_COMPLETED
0x09A	FLAG_PACIFIDLOG_NPC_TRADE_COMPLETED
0x09B	FLAG_FORTREE_NPC_TRADE_COMPLETED
0x09C	FLAG_BATTLE_FRONTIER_TRADE_DONE
0x09D	FLAG_FORCE_MIRAGE_TOWER_VISIBLE
0x09E	FLAG_SOOTOPOLIS_ARCHIE_MAXIE_LEAVE
0x09F	FLAG_INTERACTED_WITH_DEVON_EMPLOYEE_GOODS_STOLEN
0x0A0	FLAG_COOL_PAINTING_MADE
0x0A1	FLAG_BEAUTY_PAINTING_MADE
0x0A2	FLAG_CUTE_PAINTING_MADE
0x0A3	FLAG_SMART_PAINTING_MADE
0x0A4	FLAG_TOUGH_PAINTING_MADE
0x0A5	FLAG_RECEIVED_TM39
0x0A6	FLAG_RECEIVED_TM08
0x0A7	FLAG_RECEIVED_TM34
0x0A8	FLAG_RECEIVED_TM50
0x0A9	FLAG_RECEIVED_TM42
0x0AA	FLAG_RECEIVED_TM40
0x0AB	FLAG_RECEIVED_TM04
0x0AC	FLAG_RECEIVED_TM03
0x0AD	FLAG_DECORATION_0
0x0AE	FLAG_DECORATION_1
0x0AF	FLAG_DECORATION_2
0x0B0	FLAG_DECORATION_3
0x0B1	FLAG_DECORATION_4
0x0B2	FLAG_DECORATION_5
0x0B3	FLAG_DECORATION_6
0x0B4	FLAG_DECORATION_7
0x0B5	FLAG_DECORATION_8
0x0B6	FLAG_DECORATION_9
0x0B7	FLAG_DECORATION_10
0x0B8	FLAG_DECORATION_11
0x0B9	FLAG_DECORATION_12
0x0BA	FLAG_DECORATION_13
0x0BB	FLAG_DECORATION_14
0x0BC	FLAG_RECEIVED_POKENAV
0x0BD	FLAG_DELIVERED_STEVEN_LETTER
0x0BE	FLAG_DEFEATED_WALLY_MAUVILLE
0x0BF	FLAG_DEFEATED_GRUNT_SPACE_CENTER_1F
0x0C0	FLAG_RECEIVED_SUN_STONE_MOSSDEEP
0x0C1	FLAG_WALLY_SPEECH
0x0C2	FLAG_TRICK_HOUSE_PUZZLE_7_SWITCH_1 ; Leftover from the RS version of Puzzle Room 7, functionally unused
0x0C3	FLAG_TRICK_HOUSE_PUZZLE_7_SWITCH_2 ;
0x0C4	FLAG_TRICK_HOUSE_PUZZLE_7_SWITCH_3 ;
0x0C5	FLAG_TRICK_HOUSE_PUZZLE_7_SWITCH_4 ;
0x0C6	FLAG_TRICK_HOUSE_PUZZLE_7_SWITCH_5 ;
0x0C7	FLAG_RUSTURF_TUNNEL_OPENED
0x0C8	FLAG_RECEIVED_RED_SCARF
0x0C9	FLAG_RECEIVED_BLUE_SCARF
0x0CA	FLAG_RECEIVED_PINK_SCARF
0x0CB	FLAG_RECEIVED_GREEN_SCARF
0x0CC	FLAG_RECEIVED_YELLOW_SCARF
0x0CD	FLAG_INTERACTED_WITH_STEVEN_SPACE_CENTER
0x0CE	FLAG_ENCOUNTERED_LATIAS_OR_LATIOS
0x0CF	FLAG_MET_ARCHIE_METEOR_FALLS
0x0D0	FLAG_GOT_BASEMENT_KEY_FROM_WATTSON
0x0D1	FLAG_GOT_TM24_FROM_WATTSON
0x0D2	FLAG_FAN_CLUB_STRENGTH_SHARED ; Set when you rate the strength of another trainer in Lilycove's Trainer Fan Club.
0x0D3	FLAG_DEFEATED_RIVAL_RUSTBORO
0x0D4	FLAG_RECEIVED_RED_OR_BLUE_ORB
0x0D5	FLAG_RECEIVED_PREMIER_BALL_RUSTBORO
0x0D6	FLAG_ENABLE_WALLY_MATCH_CALL
0x0D7	FLAG_ENABLE_SCOTT_MATCH_CALL
0x0D8	FLAG_ENABLE_MOM_MATCH_CALL
0x0D9	FLAG_MET_DIVING_TREASURE_HUNTER
0x0DA	FLAG_MET_WAILMER_TRAINER
0x0DB	FLAG_EVIL_LEADER_PLEASE_STOP

0x0DC	FLAG_NEVER_SET_0x0DC ; This flag is read, but never written to

0x0DD	FLAG_RECEIVED_GO_GOGGLES
0x0DE	FLAG_WINGULL_SENT_ON_ERRAND
0x0DF	FLAG_RECEIVED_MENTAL_HERB
0x0E0	FLAG_WINGULL_DELIVERED_MAIL
0x0E1	FLAG_RECEIVED_20_COINS
0x0E2	FLAG_RECEIVED_STARTER_DOLL
0x0E3	FLAG_RECEIVED_GOOD_ROD
0x0E4	FLAG_REGI_DOORS_OPENED
0x0E5	FLAG_RECEIVED_TM27
0x0E6	FLAG_RECEIVED_TM36
0x0E7	FLAG_RECEIVED_TM05
0x0E8	FLAG_RECEIVED_TM19

0x0E9	FLAG_UNUSED_0x0E9 ; Unused Flag

0x0EA	FLAG_RECEIVED_TM44
0x0EB	FLAG_RECEIVED_TM45
0x0EC	FLAG_RECEIVED_GLASS_ORNAMENT
0x0ED	FLAG_RECEIVED_SILVER_SHIELD
0x0EE	FLAG_RECEIVED_GOLD_SHIELD
0x0EF	FLAG_USED_STORAGE_KEY
0x0F0	FLAG_USED_ROOM_1_KEY
0x0F1	FLAG_USED_ROOM_2_KEY
0x0F2	FLAG_USED_ROOM_4_KEY
0x0F3	FLAG_USED_ROOM_6_KEY
0x0F4	FLAG_MET_PROF_COZMO
0x0F5	FLAG_RECEIVED_WAILMER_DOLL
0x0F6	FLAG_RECEIVED_CHESTO_BERRY_ROUTE_104
0x0F7	FLAG_DEFEATED_SS_TIDAL_TRAINERS
0x0F8	FLAG_RECEIVED_SPELON_BERRY
0x0F9	FLAG_RECEIVED_PAMTRE_BERRY
0x0FA	FLAG_RECEIVED_WATMEL_BERRY
0x0FB	FLAG_RECEIVED_DURIN_BERRY
0x0FC	FLAG_RECEIVED_BELUE_BERRY
0x0FD	FLAG_ENABLE_RIVAL_MATCH_CALL
0x0FE	FLAG_RECEIVED_CHARCOAL
0x0FF	FLAG_LATIOS_OR_LATIAS_ROAMING
0x100	FLAG_RECEIVED_REPEAT_BALL
0x101	FLAG_RECEIVED_OLD_ROD
0x102	FLAG_RECEIVED_COIN_CASE
0x103	FLAG_RETURNED_RED_OR_BLUE_ORB
0x104	FLAG_RECEIVED_TM49
0x105	FLAG_RECEIVED_TM28
0x106	FLAG_RECEIVED_TM09
0x107	FLAG_ENTERED_ELITE_FOUR
0x108	FLAG_RECEIVED_TM10
0x109	FLAG_RECEIVED_TM41
0x10A	FLAG_RECEIVED_LAVARIDGE_EGG
0x10B	FLAG_RECEIVED_REVIVED_FOSSIL_MON
0x10C	FLAG_SECRET_BASE_REGISTRY_ENABLED
0x10D	FLAG_RECEIVED_TM46
0x10E	FLAG_CONTEST_SKETCH_CREATED ; Set but never read
0x10F	FLAG_EVIL_TEAM_ESCAPED_STERN_SPOKE
0x110	FLAG_RECEIVED_EXP_SHARE
0x111	FLAG_POKERUS_EXPLAINED
0x112	FLAG_RECEIVED_RUNNING_SHOES
0x113	FLAG_RECEIVED_QUICK_CLAW
0x114	FLAG_RECEIVED_KINGS_ROCK
0x115	FLAG_RECEIVED_MACHO_BRACE
0x116	FLAG_RECEIVED_SOOTHE_BELL
0x117	FLAG_RECEIVED_WHITE_HERB
0x118	FLAG_RECEIVED_SOFT_SAND
0x119	FLAG_ENABLE_PROF_BIRCH_MATCH_CALL
0x11A	FLAG_RECEIVED_CLEANSE_TAG
0x11B	FLAG_RECEIVED_FOCUS_BAND
0x11C	FLAG_DECLINED_WALLY_BATTLE_MAUVILLE
0x11D	FLAG_RECEIVED_DEVON_SCOPE
0x11E	FLAG_DECLINED_RIVAL_BATTLE_LILYCOVE
0x11F	FLAG_MET_DEVON_EMPLOYEE
0x120	FLAG_MET_RIVAL_RUSTBORO
0x121	FLAG_RECEIVED_SILK_SCARF
0x122	FLAG_NOT_READY_FOR_BATTLE_ROUTE_120
0x123	FLAG_RECEIVED_SS_TICKET
0x124	FLAG_MET_RIVAL_LILYCOVE
0x125	FLAG_MET_RIVAL_IN_HOUSE_AFTER_LILYCOVE
0x126	FLAG_EXCHANGED_SCANNER
0x127	FLAG_KECLEON_FLED_FORTREE
0x128	FLAG_PETALBURG_MART_EXPANDED_ITEMS
0x129	FLAG_RECEIVED_MIRACLE_SEED
0x12A	FLAG_RECEIVED_BELDUM
0x12B	FLAG_RECEIVED_FANCLUB_TM_THIS_WEEK
0x12C	FLAG_MET_FANCLUB_YOUNGER_BROTHER
0x12D	FLAG_RIVAL_LEFT_FOR_ROUTE103
0x12E	FLAG_OMIT_DIVE_FROM_STEVEN_LETTER
0x12F	FLAG_HAS_MATCH_CALL
0x130	FLAG_ADDED_MATCH_CALL_TO_POKENAV
0x131	FLAG_REGISTERED_STEVEN_POKENAV
0x132	FLAG_ENABLE_NORMAN_MATCH_CALL
0x133	FLAG_STEVEN_GUIDES_TO_CAVE_OF_ORIGIN ; Set after you follow Steven to the entrance of the Cave of Origin.
0x134	FLAG_MET_ARCHIE_SOOTOPOLIS
0x135	FLAG_MET_MAXIE_SOOTOPOLIS
0x136	FLAG_MET_SCOTT_RUSTBORO
0x137	FLAG_WALLACE_GOES_TO_SKY_PILLAR ; Set after speaking to Wallace within the Cave of Origin.
0x138	FLAG_RECEIVED_HM07
0x139	FLAG_BEAT_MAGMA_GRUNT_JAGGED_PASS
0x13A	FLAG_RECEIVED_AURORA_TICKET
0x13B	FLAG_RECEIVED_MYSTIC_TICKET
0x13C	FLAG_RECEIVED_OLD_SEA_MAP
0x13D	FLAG_WONDER_CARD_UNUSED_1 ; These Wonder Card flags are referenced but never set
0x13E	FLAG_WONDER_CARD_UNUSED_2
0x13F	FLAG_WONDER_CARD_UNUSED_3
0x140	FLAG_WONDER_CARD_UNUSED_4
0x141	FLAG_WONDER_CARD_UNUSED_5
0x142	FLAG_WONDER_CARD_UNUSED_6
0x143	FLAG_WONDER_CARD_UNUSED_7
0x144	FLAG_WONDER_CARD_UNUSED_8
0x145	FLAG_WONDER_CARD_UNUSED_9
0x146	FLAG_WONDER_CARD_UNUSED_10
0x147	FLAG_WONDER_CARD_UNUSED_11
0x148	FLAG_WONDER_CARD_UNUSED_12
0x149	FLAG_WONDER_CARD_UNUSED_13
0x14A	FLAG_WONDER_CARD_UNUSED_14
0x14B	FLAG_WONDER_CARD_UNUSED_15
0x14C	FLAG_WONDER_CARD_UNUSED_16
0x14D	FLAG_WONDER_CARD_UNUSED_17
        NUM_WONDER_CARD_FLAGS   (1 + FLAG_WONDER_CARD_UNUSED_17 - FLAG_RECEIVED_AURORA_TICKET)

0x14E	FLAG_MIRAGE_TOWER_VISIBLE
0x14F	FLAG_CHOSE_ROOT_FOSSIL
0x150	FLAG_CHOSE_CLAW_FOSSIL
0x151	FLAG_RECEIVED_POWDER_JAR

0x152	FLAG_CHOSEN_MULTI_BATTLE_NPC_PARTNER

0x153	FLAG_MET_BATTLE_FRONTIER_BREEDER
0x154	FLAG_MET_BATTLE_FRONTIER_MANIAC
0x155	FLAG_ENTERED_CONTEST
0x156	FLAG_MET_SLATEPORT_FANCLUB_CHAIRMAN
0x157	FLAG_MET_BATTLE_FRONTIER_GAMBLER
0x158	FLAG_ENABLE_MR_STONE_POKENAV
0x159	FLAG_NURSE_MENTIONS_GOLD_CARD
0x15A	FLAG_MET_FRONTIER_BEAUTY_MOVE_TUTOR
0x15B	FLAG_MET_FRONTIER_SWIMMER_MOVE_TUTOR

; Trainer Rematch Flags
0x15C	FLAG_MATCH_CALL_REGISTERED
0x15D	FLAG_REMATCH_ROSE
0x15E	FLAG_REMATCH_ANDRES
0x15F	FLAG_REMATCH_DUSTY
0x160	FLAG_REMATCH_LOLA
0x161	FLAG_REMATCH_RICKY
0x162	FLAG_REMATCH_LILA_AND_ROY
0x163	FLAG_REMATCH_CRISTIN
0x164	FLAG_REMATCH_BROOKE
0x165	FLAG_REMATCH_WILTON
0x166	FLAG_REMATCH_VALERIE
0x167	FLAG_REMATCH_CINDY
0x168	FLAG_REMATCH_THALIA
0x169	FLAG_REMATCH_JESSICA
0x16A	FLAG_REMATCH_WINSTON
0x16B	FLAG_REMATCH_STEVE
0x16C	FLAG_REMATCH_TONY
0x16D	FLAG_REMATCH_NOB
0x16E	FLAG_REMATCH_KOJI
0x16F	FLAG_REMATCH_FERNANDO
0x170	FLAG_REMATCH_DALTON
0x171	FLAG_REMATCH_BERNIE
0x172	FLAG_REMATCH_ETHAN
0x173	FLAG_REMATCH_JOHN_AND_JAY
0x174	FLAG_REMATCH_JEFFREY
0x175	FLAG_REMATCH_CAMERON
0x176	FLAG_REMATCH_JACKI
0x177	FLAG_REMATCH_WALTER
0x178	FLAG_REMATCH_KAREN
0x179	FLAG_REMATCH_JERRY
0x17A	FLAG_REMATCH_ANNA_AND_MEG
0x17B	FLAG_REMATCH_ISABEL
0x17C	FLAG_REMATCH_MIGUEL
0x17D	FLAG_REMATCH_TIMOTHY
0x17E	FLAG_REMATCH_SHELBY
0x17F	FLAG_REMATCH_CALVIN
0x180	FLAG_REMATCH_ELLIOT
0x181	FLAG_REMATCH_ISAIAH
0x182	FLAG_REMATCH_MARIA
0x183	FLAG_REMATCH_ABIGAIL
0x184	FLAG_REMATCH_DYLAN
0x185	FLAG_REMATCH_KATELYN
0x186	FLAG_REMATCH_BENJAMIN
0x187	FLAG_REMATCH_PABLO
0x188	FLAG_REMATCH_NICOLAS
0x189	FLAG_REMATCH_ROBERT
0x18A	FLAG_REMATCH_LAO
0x18B	FLAG_REMATCH_CYNDY
0x18C	FLAG_REMATCH_MADELINE
0x18D	FLAG_REMATCH_JENNY
0x18E	FLAG_REMATCH_DIANA
0x18F	FLAG_REMATCH_AMY_AND_LIV
0x190	FLAG_REMATCH_ERNEST
0x191	FLAG_REMATCH_CORY
0x192	FLAG_REMATCH_EDWIN
0x193	FLAG_REMATCH_LYDIA
0x194	FLAG_REMATCH_ISAAC
0x195	FLAG_REMATCH_GABRIELLE
0x196	FLAG_REMATCH_CATHERINE
0x197	FLAG_REMATCH_JACKSON
0x198	FLAG_REMATCH_HALEY
0x199	FLAG_REMATCH_JAMES
0x19A	FLAG_REMATCH_TRENT
0x19B	FLAG_REMATCH_SAWYER
0x19C	FLAG_REMATCH_KIRA_AND_DAN
0x19D	FLAG_REMATCH_WALLY
0x19E	FLAG_REMATCH_ROXANNE
0x19F	FLAG_REMATCH_BRAWLY
0x1A0	FLAG_REMATCH_WATTSON
0x1A1	FLAG_REMATCH_FLANNERY
0x1A2	FLAG_REMATCH_NORMAN
0x1A3	FLAG_REMATCH_WINONA
0x1A4	FLAG_REMATCH_TATE_AND_LIZA
; Note: FLAG_REMATCH_JUAN is handled by FLAG_ENABLE_JUAN_MATCH_CALL instead.
0x1A5	FLAG_REMATCH_SIDNEY
0x1A6	FLAG_REMATCH_PHOEBE
0x1A7	FLAG_REMATCH_GLACIA
0x1A8	FLAG_REMATCH_DRAKE
0x1A9	FLAG_REMATCH_WALLACE

0x1AA	FLAG_UNUSED_0x1AA ; Unused Flag
0x1AB	FLAG_UNUSED_0x1AB ; Unused Flag

0x1AC	FLAG_DEFEATED_DEOXYS
0x1AD	FLAG_BATTLED_DEOXYS
0x1AE	FLAG_SHOWN_EON_TICKET
0x1AF	FLAG_SHOWN_AURORA_TICKET
0x1B0	FLAG_SHOWN_OLD_SEA_MAP
0x1B1	FLAG_MOVE_TUTOR_TAUGHT_SWAGGER
0x1B2	FLAG_MOVE_TUTOR_TAUGHT_ROLLOUT
0x1B3	FLAG_MOVE_TUTOR_TAUGHT_FURY_CUTTER
0x1B4	FLAG_MOVE_TUTOR_TAUGHT_MIMIC
0x1B5	FLAG_MOVE_TUTOR_TAUGHT_METRONOME
0x1B6	FLAG_MOVE_TUTOR_TAUGHT_SLEEP_TALK
0x1B7	FLAG_MOVE_TUTOR_TAUGHT_SUBSTITUTE
0x1B8	FLAG_MOVE_TUTOR_TAUGHT_DYNAMICPUNCH
0x1B9	FLAG_MOVE_TUTOR_TAUGHT_DOUBLE_EDGE
0x1BA	FLAG_MOVE_TUTOR_TAUGHT_EXPLOSION
0x1BB	FLAG_DEFEATED_REGIROCK
0x1BC	FLAG_DEFEATED_REGICE
0x1BD	FLAG_DEFEATED_REGISTEEL
0x1BE	FLAG_DEFEATED_KYOGRE
0x1BF	FLAG_DEFEATED_GROUDON
0x1C0	FLAG_DEFEATED_RAYQUAZA
0x1C1	FLAG_DEFEATED_VOLTORB_1_NEW_MAUVILLE
0x1C2	FLAG_DEFEATED_VOLTORB_2_NEW_MAUVILLE
0x1C3	FLAG_DEFEATED_VOLTORB_3_NEW_MAUVILLE
0x1C4	FLAG_DEFEATED_ELECTRODE_1_AQUA_HIDEOUT
0x1C5	FLAG_DEFEATED_ELECTRODE_2_AQUA_HIDEOUT
0x1C6	FLAG_DEFEATED_SUDOWOODO
0x1C7	FLAG_DEFEATED_MEW
0x1C8	FLAG_DEFEATED_LATIAS_OR_LATIOS
0x1C9	FLAG_CAUGHT_LATIAS_OR_LATIOS
0x1CA	FLAG_CAUGHT_MEW
0x1CB	FLAG_MET_SCOTT_AFTER_OBTAINING_STONE_BADGE
0x1CC	FLAG_MET_SCOTT_IN_VERDANTURF
0x1CD	FLAG_MET_SCOTT_IN_FALLARBOR
0x1CE	FLAG_MET_SCOTT_IN_LILYCOVE
0x1CF	FLAG_MET_SCOTT_IN_EVERGRANDE
0x1D0	FLAG_MET_SCOTT_ON_SS_TIDAL
0x1D1	FLAG_SCOTT_GIVES_BATTLE_POINTS
0x1D2	FLAG_COLLECTED_ALL_GOLD_SYMBOLS
0x1D3	FLAG_ENABLE_ROXANNE_MATCH_CALL
0x1D4	FLAG_ENABLE_BRAWLY_MATCH_CALL
0x1D5	FLAG_ENABLE_WATTSON_MATCH_CALL
0x1D6	FLAG_ENABLE_FLANNERY_MATCH_CALL
0x1D7	FLAG_ENABLE_WINONA_MATCH_CALL
0x1D8	FLAG_ENABLE_TATE_AND_LIZA_MATCH_CALL
0x1D9	FLAG_ENABLE_JUAN_MATCH_CALL

0x1DA	FLAG_UNUSED_0x1DA ; Unused Flag

0x1DB	FLAG_SHOWN_MYSTIC_TICKET
0x1DC	FLAG_DEFEATED_HO_OH
0x1DD	FLAG_DEFEATED_LUGIA

0x1DE	FLAG_UNUSED_0x1DE ; Unused Flag
0x1DF	FLAG_UNUSED_0x1DF ; Unused Flag
0x1E0	FLAG_UNUSED_0x1E0 ; Unused Flag
0x1E1	FLAG_UNUSED_0x1E1 ; Unused Flag
0x1E2	FLAG_UNUSED_0x1E2 ; Unused Flag
0x1E3	FLAG_UNUSED_0x1E3 ; Unused Flag

; Mystery Gift Flags (Unknown)
0x1E4	FLAG_MYSTERY_GIFT_DONE
0x1E5	FLAG_MYSTERY_GIFT_1
0x1E6	FLAG_MYSTERY_GIFT_2
0x1E7	FLAG_MYSTERY_GIFT_3
0x1E8	FLAG_MYSTERY_GIFT_4
