; MissableObjects for hide/show indexes in flag wMissableObjects
0x00    HS_PALLET_TOWN_OAK
0x4B    HS_FIGHTING_DOJO_GIFT_2
0x4C    HS_SILPH_CO_1F_RECEPTIONIST
0x4D    HS_VOLTORB_1
0x4E    HS_VOLTORB_2
0x4F    HS_VOLTORB_3
0x50    HS_ELECTRODE_1
0x51    HS_VOLTORB_4
0x52    HS_VOLTORB_5
0x53    HS_ELECTRODE_2
0x54    HS_VOLTORB_6
0x55    HS_ZAPDOS
0x56    HS_POWER_PLANT_ITEM_1
0x57    HS_POWER_PLANT_ITEM_2
0x58    HS_POWER_PLANT_ITEM_3
0x59    HS_POWER_PLANT_ITEM_4
0x5A    HS_POWER_PLANT_ITEM_5
0x5B    HS_MOLTRES
0x5C    HS_VICTORY_ROAD_2F_ITEM_1
0x5D    HS_VICTORY_ROAD_2F_ITEM_2
0x5E    HS_VICTORY_ROAD_2F_ITEM_3
0x5F    HS_VICTORY_ROAD_2F_ITEM_4
0x60    HS_VICTORY_ROAD_2F_BOULDER
0x61    HS_BILL_POKEMON
0x62    HS_BILL_1
0x63    HS_BILL_2
0x64    HS_VIRIDIAN_FOREST_ITEM_1
0x65    HS_VIRIDIAN_FOREST_ITEM_2
0x66    HS_VIRIDIAN_FOREST_ITEM_3
0x67    HS_MT_MOON_1F_ITEM_1
0x68    HS_MT_MOON_1F_ITEM_2
0x69    HS_MT_MOON_1F_ITEM_3
0x6A    HS_MT_MOON_1F_ITEM_4
0x6B    HS_MT_MOON_1F_ITEM_5
0x6C    HS_MT_MOON_1F_ITEM_6
0x6D    HS_MT_MOON_B2F_FOSSIL_1
0x6E    HS_MT_MOON_B2F_FOSSIL_2
0x6F    HS_MT_MOON_B2F_ITEM_1
0x70    HS_MT_MOON_B2F_ITEM_2
0x71    HS_SS_ANNE_2F_RIVAL
0x72    HS_SS_ANNE_1F_ROOMS_ITEM
0x73    HS_SS_ANNE_2F_ROOMS_ITEM_1
0x74    HS_SS_ANNE_2F_ROOMS_ITEM_2
0x75    HS_SS_ANNE_B1F_ROOMS_ITEM_1
0x76    HS_SS_ANNE_B1F_ROOMS_ITEM_2
0x77    HS_SS_ANNE_B1F_ROOMS_ITEM_3
0x78    HS_VICTORY_ROAD_3F_ITEM_1
0x79    HS_VICTORY_ROAD_3F_ITEM_2
0x7A    HS_VICTORY_ROAD_3F_BOULDER
0x7B    HS_ROCKET_HIDEOUT_B1F_ITEM_1
0x7C    HS_ROCKET_HIDEOUT_B1F_ITEM_2
0x7D    HS_ROCKET_HIDEOUT_B2F_ITEM_1
0x7E    HS_ROCKET_HIDEOUT_B2F_ITEM_2
0x7F    HS_ROCKET_HIDEOUT_B2F_ITEM_3
0x80    HS_ROCKET_HIDEOUT_B2F_ITEM_4
0x81    HS_ROCKET_HIDEOUT_B3F_ITEM_1
0x82    HS_ROCKET_HIDEOUT_B3F_ITEM_2
0x83    HS_ROCKET_HIDEOUT_B4F_GIOVANNI
0x84    HS_ROCKET_HIDEOUT_B4F_ITEM_1
0x85    HS_ROCKET_HIDEOUT_B4F_ITEM_2
0x86    HS_ROCKET_HIDEOUT_B4F_ITEM_3
0x87    HS_ROCKET_HIDEOUT_B4F_ITEM_4
0x88    HS_ROCKET_HIDEOUT_B4F_ITEM_5
0x89    HS_SILPH_CO_2F_1                    ; XXX never (de)activated?
0x8A    HS_SILPH_CO_2F_2
0x8B    HS_SILPH_CO_2F_3
0x8C    HS_SILPH_CO_2F_4
0x8D    HS_SILPH_CO_2F_5
0x8E    HS_SILPH_CO_3F_1
0x8F    HS_SILPH_CO_3F_2
0x90    HS_SILPH_CO_3F_ITEM
0x91    HS_SILPH_CO_4F_1
0x92    HS_SILPH_CO_4F_2
0x93    HS_SILPH_CO_4F_3
0x94    HS_SILPH_CO_4F_ITEM_1
0x95    HS_SILPH_CO_4F_ITEM_2
0x96    HS_SILPH_CO_4F_ITEM_3
0x97    HS_SILPH_CO_5F_1
0x98    HS_SILPH_CO_5F_2
0x99    HS_SILPH_CO_5F_3
0x9A    HS_SILPH_CO_5F_4
0x9B    HS_SILPH_CO_5F_ITEM_1
0x9C    HS_SILPH_CO_5F_ITEM_2
0x9D    HS_SILPH_CO_5F_ITEM_3
0x9E    HS_SILPH_CO_6F_1
0x9F    HS_SILPH_CO_6F_2
0xA0    HS_SILPH_CO_6F_3
0xA1    HS_SILPH_CO_6F_ITEM_1
0xA2    HS_SILPH_CO_6F_ITEM_2
0xA3    HS_SILPH_CO_7F_1
0xA4    HS_SILPH_CO_7F_2
0xA5    HS_SILPH_CO_7F_3
0xA6    HS_SILPH_CO_7F_4
0xA7    HS_SILPH_CO_7F_RIVAL
0xA8    HS_SILPH_CO_7F_ITEM_1
0xA9    HS_SILPH_CO_7F_ITEM_2               ; XXX sprite doesn't exist
0xAA    HS_SILPH_CO_7F_8
0xAB    HS_SILPH_CO_8F_1
0xAC    HS_SILPH_CO_8F_2
0xAD    HS_SILPH_CO_8F_3
0xAE    HS_SILPH_CO_9F_1
0xAF    HS_SILPH_CO_9F_2
0xB0    HS_SILPH_CO_9F_3
0xB1    HS_SILPH_CO_10F_1
0xB2    HS_SILPH_CO_10F_2
0xB3    HS_SILPH_CO_10F_3                   ; XXX never (de)activated?
0xB4    HS_SILPH_CO_10F_ITEM_1
0xB5    HS_SILPH_CO_10F_ITEM_2
0xB6    HS_SILPH_CO_10F_ITEM_3
0xB7    HS_SILPH_CO_11F_1
0xB8    HS_SILPH_CO_11F_2
0xB9    HS_SILPH_CO_11F_3
0xBA    HS_UNUSED_MAP_F4_1                  ; XXX sprite doesn't exist
0xBB    HS_POKEMON_MANSION_2F_ITEM
0xBC    HS_POKEMON_MANSION_3F_ITEM_1
0xBD    HS_POKEMON_MANSION_3F_ITEM_2
0xBE    HS_POKEMON_MANSION_B1F_ITEM_1
0xBF    HS_POKEMON_MANSION_B1F_ITEM_2
0xC0    HS_POKEMON_MANSION_B1F_ITEM_3
0xC1    HS_POKEMON_MANSION_B1F_ITEM_4
0xC2    HS_POKEMON_MANSION_B1F_ITEM_5
0xC3    HS_SAFARI_ZONE_EAST_ITEM_1
0xC4    HS_SAFARI_ZONE_EAST_ITEM_2
0xC5    HS_SAFARI_ZONE_EAST_ITEM_3
0xC6    HS_SAFARI_ZONE_EAST_ITEM_4
0xC7    HS_SAFARI_ZONE_NORTH_ITEM_1
0xC8    HS_SAFARI_ZONE_NORTH_ITEM_2
0xC9    HS_SAFARI_ZONE_WEST_ITEM_1
0xCA    HS_SAFARI_ZONE_WEST_ITEM_2
0xCB    HS_SAFARI_ZONE_WEST_ITEM_3
0xCC    HS_SAFARI_ZONE_WEST_ITEM_4
0xCD    HS_SAFARI_ZONE_CENTER_ITEM
0xCE    HS_CERULEAN_CAVE_2F_ITEM_1
0xCF    HS_CERULEAN_CAVE_2F_ITEM_2
0xD0    HS_CERULEAN_CAVE_2F_ITEM_3
0xD1    HS_MEWTWO
0xD2    HS_CERULEAN_CAVE_B1F_ITEM_1
0xD3    HS_CERULEAN_CAVE_B1F_ITEM_2
0xD4    HS_VICTORY_ROAD_1F_ITEM_1
0xD5    HS_VICTORY_ROAD_1F_ITEM_2
0xD6    HS_CHAMPIONS_ROOM_OAK
0xD7    HS_SEAFOAM_ISLANDS_1F_BOULDER_1
0xD8    HS_SEAFOAM_ISLANDS_1F_BOULDER_2
0xD9    HS_SEAFOAM_ISLANDS_B1F_BOULDER_1
0xDA    HS_SEAFOAM_ISLANDS_B1F_BOULDER_2
0xDB    HS_SEAFOAM_ISLANDS_B2F_BOULDER_1
0xDC    HS_SEAFOAM_ISLANDS_B2F_BOULDER_2
0xDD    HS_SEAFOAM_ISLANDS_B3F_BOULDER_1
0xDE    HS_SEAFOAM_ISLANDS_B3F_BOULDER_2
0xDF    HS_SEAFOAM_ISLANDS_B3F_BOULDER_3
0xE0    HS_SEAFOAM_ISLANDS_B3F_BOULDER_4
0xE1    HS_SEAFOAM_ISLANDS_B4F_BOULDER_1
0xE2    HS_SEAFOAM_ISLANDS_B4F_BOULDER_2
0xE3    HS_ARTICUNO
0xE4    NUM_HS_OBJECTS




; wEventFlags bit flags

; Pallet Town events
0x000	EVENT_FOLLOWED_OAK_INTO_LAB
0x001	const_skip 2
0x003	EVENT_HALL_OF_FAME_DEX_RATING
0x004	const_skip 2
0x006	EVENT_PALLET_AFTER_GETTING_POKEBALLS
0x007	const_skip 17
0x018	EVENT_GOT_TOWN_MAP
0x019	EVENT_ENTERED_BLUES_HOUSE
0x01A	EVENT_DAISY_WALKING
0x01B	const_skip 5
0x020	EVENT_FOLLOWED_OAK_INTO_LAB_2
0x021	EVENT_OAK_ASKED_TO_CHOOSE_MON
0x022	EVENT_GOT_STARTER
0x023	EVENT_BATTLED_RIVAL_IN_OAKS_LAB
0x024	EVENT_GOT_POKEBALLS_FROM_OAK
0x025	EVENT_GOT_POKEDEX
0x026	EVENT_PALLET_AFTER_GETTING_POKEBALLS_2
0x027	EVENT_OAK_APPEARED_IN_PALLET

; Viridian City events
 	const_next $28
0x028	EVENT_VIRIDIAN_GYM_OPEN
0x029	EVENT_GOT_TM42
0x02A	const_skip 14
0x038	EVENT_OAK_GOT_PARCEL
0x039	EVENT_GOT_OAKS_PARCEL
0x03A	const_skip 22
0x050	EVENT_GOT_TM27
0x051	EVENT_BEAT_VIRIDIAN_GYM_GIOVANNI
0x052	EVENT_BEAT_VIRIDIAN_GYM_TRAINER_0
0x053	EVENT_BEAT_VIRIDIAN_GYM_TRAINER_1
0x054	EVENT_BEAT_VIRIDIAN_GYM_TRAINER_2
0x055	EVENT_BEAT_VIRIDIAN_GYM_TRAINER_3
0x056	EVENT_BEAT_VIRIDIAN_GYM_TRAINER_4
0x057	EVENT_BEAT_VIRIDIAN_GYM_TRAINER_5
0x058	EVENT_BEAT_VIRIDIAN_GYM_TRAINER_6
0x059	EVENT_BEAT_VIRIDIAN_GYM_TRAINER_7

; Pewter City events
 	const_next $68
0x068	EVENT_BOUGHT_MUSEUM_TICKET
0x069	EVENT_GOT_OLD_AMBER
0x06A	const_skip 8
0x072	EVENT_BEAT_PEWTER_GYM_TRAINER_0
0x073	const_skip 3
0x076	EVENT_GOT_TM34
0x077	EVENT_BEAT_BROCK

; Cerulean City events
 	const_next $98
0x098	EVENT_BEAT_CERULEAN_RIVAL
0x099	const_skip 14
0x0A7	EVENT_BEAT_CERULEAN_ROCKET_THIEF
0x0A8	const_skip 18
0x0BA	EVENT_BEAT_CERULEAN_GYM_TRAINER_0
0x0BB	EVENT_BEAT_CERULEAN_GYM_TRAINER_1
0x0BC	const_skip 2
0x0BE	EVENT_GOT_TM11
0x0BF	EVENT_BEAT_MISTY
0x0C0	EVENT_GOT_BICYCLE

; Lavender Town events
 	const_next $F0 - 2
0x0EE	EVENT_POKEMON_TOWER_RIVAL_ON_LEFT
0x0EF	EVENT_BEAT_POKEMON_TOWER_RIVAL
0x0F0	const_skip
0x0F1	EVENT_BEAT_POKEMONTOWER_3_TRAINER_0
0x0F2	EVENT_BEAT_POKEMONTOWER_3_TRAINER_1
0x0F3	EVENT_BEAT_POKEMONTOWER_3_TRAINER_2
0x0F4	const_skip 5
0x0F9	EVENT_BEAT_POKEMONTOWER_4_TRAINER_0
0x0FA	EVENT_BEAT_POKEMONTOWER_4_TRAINER_1
0x0FB	EVENT_BEAT_POKEMONTOWER_4_TRAINER_2
0x0FC	const_skip 6
0x102	EVENT_BEAT_POKEMONTOWER_5_TRAINER_0
0x103	EVENT_BEAT_POKEMONTOWER_5_TRAINER_1
0x104	EVENT_BEAT_POKEMONTOWER_5_TRAINER_2
0x105	EVENT_BEAT_POKEMONTOWER_5_TRAINER_3
0x106	const_skip
0x107	EVENT_IN_PURIFIED_ZONE
0x108	const_skip
0x109	EVENT_BEAT_POKEMONTOWER_6_TRAINER_0
0x10A	EVENT_BEAT_POKEMONTOWER_6_TRAINER_1
0x10B	EVENT_BEAT_POKEMONTOWER_6_TRAINER_2
0x10C	const_skip 3
0x10F	EVENT_BEAT_GHOST_MAROWAK
0x110	const_skip
0x111	EVENT_BEAT_POKEMONTOWER_7_TRAINER_0
0x112	EVENT_BEAT_POKEMONTOWER_7_TRAINER_1
0x113	EVENT_BEAT_POKEMONTOWER_7_TRAINER_2
0x114	const_skip 3
0x117	EVENT_RESCUED_MR_FUJI_2
0x118	const_skip 16
0x128	EVENT_GOT_POKE_FLUTE

; Vermilion City events
 	const_next $150
0x150	const_skip
0x151	EVENT_GOT_BIKE_VOUCHER
0x152	const_skip 4
0x156	EVENT_SEEL_FAN_BOAST
0x157	EVENT_PIKACHU_FAN_BOAST
0x158	const_skip 8
0x160	EVENT_2ND_LOCK_OPENED
0x161	EVENT_1ST_LOCK_OPENED
0x162	EVENT_BEAT_VERMILION_GYM_TRAINER_0
0x163	EVENT_BEAT_VERMILION_GYM_TRAINER_1
0x164	EVENT_BEAT_VERMILION_GYM_TRAINER_2
0x165	const_skip
0x166	EVENT_GOT_TM24
0x167	EVENT_BEAT_LT_SURGE

; Celadon City events
 	const_next $180
0x180	EVENT_GOT_TM41
0x181	const_skip 11
0x18C	EVENT_GOT_TM13
0x18D	EVENT_GOT_TM48
0x18E	EVENT_GOT_TM49
0x18F	EVENT_GOT_TM18
0x190	const_skip 24
0x1A8	EVENT_GOT_TM21
0x1A9	EVENT_BEAT_ERIKA
0x1AA	EVENT_BEAT_CELADON_GYM_TRAINER_0
0x1AB	EVENT_BEAT_CELADON_GYM_TRAINER_1
0x1AC	EVENT_BEAT_CELADON_GYM_TRAINER_2
0x1AD	EVENT_BEAT_CELADON_GYM_TRAINER_3
0x1AE	EVENT_BEAT_CELADON_GYM_TRAINER_4
0x1AF	EVENT_BEAT_CELADON_GYM_TRAINER_5
0x1B0	EVENT_BEAT_CELADON_GYM_TRAINER_6
0x1B1	const_skip 7
0x1B8	EVENT_1B8 ; ???
0x1B9	EVENT_FOUND_ROCKET_HIDEOUT
0x1BA	EVENT_GOT_10_COINS
0x1BB	EVENT_GOT_20_COINS
0x1BC	EVENT_GOT_20_COINS_2
0x1BD	const_skip 2
0x1BF	EVENT_1BF ; ???
0x1C0	const_skip 32
0x1E0	EVENT_GOT_COIN_CASE

; Fuchsia City events
 	const_next $238
0x238	EVENT_GOT_HM04
0x239	EVENT_GAVE_GOLD_TEETH
0x23A	const_skip 20
0x24E	EVENT_SAFARI_GAME_OVER
0x24F	EVENT_IN_SAFARI_ZONE
0x250	const_skip 8
0x258	EVENT_GOT_TM06
0x259	EVENT_BEAT_KOGA
0x25A	EVENT_BEAT_FUCHSIA_GYM_TRAINER_0
0x25B	EVENT_BEAT_FUCHSIA_GYM_TRAINER_1
0x25C	EVENT_BEAT_FUCHSIA_GYM_TRAINER_2
0x25D	EVENT_BEAT_FUCHSIA_GYM_TRAINER_3
0x25E	EVENT_BEAT_FUCHSIA_GYM_TRAINER_4
0x25F	EVENT_BEAT_FUCHSIA_GYM_TRAINER_5

; Cinnabar Island events
 	const_next $278
0x278	EVENT_MANSION_SWITCH_ON
0x279	const_skip 16
0x289	EVENT_BEAT_MANSION_1_TRAINER_0
0x28A	const_skip 14
0x298	EVENT_GOT_TM38
0x299	EVENT_BEAT_BLAINE
0x29A	EVENT_BEAT_CINNABAR_GYM_TRAINER_0
0x29B	EVENT_BEAT_CINNABAR_GYM_TRAINER_1
0x29C	EVENT_BEAT_CINNABAR_GYM_TRAINER_2
0x29D	EVENT_BEAT_CINNABAR_GYM_TRAINER_3
0x29E	EVENT_BEAT_CINNABAR_GYM_TRAINER_4
0x29F	EVENT_BEAT_CINNABAR_GYM_TRAINER_5
0x2A0	EVENT_BEAT_CINNABAR_GYM_TRAINER_6
0x2A1	const_skip 6
0x2A7	EVENT_2A7 ; ???
0x2A8	EVENT_CINNABAR_GYM_GATE0_UNLOCKED
0x2A9	EVENT_CINNABAR_GYM_GATE1_UNLOCKED
0x2AA	EVENT_CINNABAR_GYM_GATE2_UNLOCKED
0x2AB	EVENT_CINNABAR_GYM_GATE3_UNLOCKED
0x2AC	EVENT_CINNABAR_GYM_GATE4_UNLOCKED
0x2AD	EVENT_CINNABAR_GYM_GATE5_UNLOCKED
0x2AE	EVENT_CINNABAR_GYM_GATE6_UNLOCKED
0x2AF	const_skip 40
0x2D7	EVENT_GOT_TM35
0x2D8	const_skip 8
0x2E0	EVENT_GAVE_FOSSIL_TO_LAB
0x2E1	EVENT_LAB_STILL_REVIVING_FOSSIL
0x2E2	EVENT_LAB_HANDING_OVER_FOSSIL_MON

; Saffron City events
 	const_next $340
0x340	EVENT_GOT_TM31
0x341	const_skip 15
0x350	EVENT_DEFEATED_FIGHTING_DOJO
0x351	EVENT_BEAT_KARATE_MASTER
0x352	EVENT_BEAT_FIGHTING_DOJO_TRAINER_0
0x353	EVENT_BEAT_FIGHTING_DOJO_TRAINER_1
0x354	EVENT_BEAT_FIGHTING_DOJO_TRAINER_2
0x355	EVENT_BEAT_FIGHTING_DOJO_TRAINER_3
0x356	EVENT_GOT_HITMONLEE
0x357	EVENT_GOT_HITMONCHAN
0x358	const_skip 8
0x360	EVENT_GOT_TM46
0x361	EVENT_BEAT_SABRINA
0x362	EVENT_BEAT_SAFFRON_GYM_TRAINER_0
0x363	EVENT_BEAT_SAFFRON_GYM_TRAINER_1
0x364	EVENT_BEAT_SAFFRON_GYM_TRAINER_2
0x365	EVENT_BEAT_SAFFRON_GYM_TRAINER_3
0x366	EVENT_BEAT_SAFFRON_GYM_TRAINER_4
0x367	EVENT_BEAT_SAFFRON_GYM_TRAINER_5
0x368	EVENT_BEAT_SAFFRON_GYM_TRAINER_6
0x369	const_skip 46
0x397	EVENT_SILPH_CO_RECEPTIONIST_AT_DESK
0x398	const_skip 24
0x3B0	EVENT_GOT_TM29

; Route 1 events
 	const_next $3C0
0x3C0	EVENT_GOT_POTION_SAMPLE

; Route 2 events
 	const_next $3D8
0x3D8	EVENT_GOT_HM05

; Route 3 events
 	const_next $3E0
0x3E0	const_skip 2
0x3E2	EVENT_BEAT_ROUTE_3_TRAINER_0
0x3E3	EVENT_BEAT_ROUTE_3_TRAINER_1
0x3E4	EVENT_BEAT_ROUTE_3_TRAINER_2
0x3E5	EVENT_BEAT_ROUTE_3_TRAINER_3
0x3E6	EVENT_BEAT_ROUTE_3_TRAINER_4
0x3E7	EVENT_BEAT_ROUTE_3_TRAINER_5
0x3E8	EVENT_BEAT_ROUTE_3_TRAINER_6
0x3E9	EVENT_BEAT_ROUTE_3_TRAINER_7

; Route 4 events
 	const_next $3F0
0x3F0	const_skip 2
0x3F2	EVENT_BEAT_ROUTE_4_TRAINER_0
0x3F3	const_skip 12
0x3FF	EVENT_BOUGHT_MAGIKARP

; Route 6 events
 	const_next $410
0x410	const_skip
0x411	EVENT_BEAT_ROUTE_6_TRAINER_0
0x412	EVENT_BEAT_ROUTE_6_TRAINER_1
0x413	EVENT_BEAT_ROUTE_6_TRAINER_2
0x414	EVENT_BEAT_ROUTE_6_TRAINER_3
0x415	EVENT_BEAT_ROUTE_6_TRAINER_4
0x416	EVENT_BEAT_ROUTE_6_TRAINER_5

; Route 8 events
 	const_next $430
0x430	const_skip
0x431	EVENT_BEAT_ROUTE_8_TRAINER_0
0x432	EVENT_BEAT_ROUTE_8_TRAINER_1
0x433	EVENT_BEAT_ROUTE_8_TRAINER_2
0x434	EVENT_BEAT_ROUTE_8_TRAINER_3
0x435	EVENT_BEAT_ROUTE_8_TRAINER_4
0x436	EVENT_BEAT_ROUTE_8_TRAINER_5
0x437	EVENT_BEAT_ROUTE_8_TRAINER_6
0x438	EVENT_BEAT_ROUTE_8_TRAINER_7
0x439	EVENT_BEAT_ROUTE_8_TRAINER_8

; Route 9 events
 	const_next $440
0x440	const_skip
0x441	EVENT_BEAT_ROUTE_9_TRAINER_0
0x442	EVENT_BEAT_ROUTE_9_TRAINER_1
0x443	EVENT_BEAT_ROUTE_9_TRAINER_2
0x444	EVENT_BEAT_ROUTE_9_TRAINER_3
0x445	EVENT_BEAT_ROUTE_9_TRAINER_4
0x446	EVENT_BEAT_ROUTE_9_TRAINER_5
0x447	EVENT_BEAT_ROUTE_9_TRAINER_6
0x448	EVENT_BEAT_ROUTE_9_TRAINER_7
0x449	EVENT_BEAT_ROUTE_9_TRAINER_8

; Route 10 events
 	const_next $450
0x450	const_skip
0x451	EVENT_BEAT_ROUTE_10_TRAINER_0
0x452	EVENT_BEAT_ROUTE_10_TRAINER_1
0x453	EVENT_BEAT_ROUTE_10_TRAINER_2
0x454	EVENT_BEAT_ROUTE_10_TRAINER_3
0x455	EVENT_BEAT_ROUTE_10_TRAINER_4
0x456	EVENT_BEAT_ROUTE_10_TRAINER_5
0x457	const_skip 2
0x459	EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_0
0x45A	EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_1
0x45B	EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_2
0x45C	EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_3
0x45D	EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_4
0x45E	EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_5
0x45F	EVENT_BEAT_ROCK_TUNNEL_1_TRAINER_6
0x460	const_skip
0x461	EVENT_BEAT_POWER_PLANT_VOLTORB_0
0x462	EVENT_BEAT_POWER_PLANT_VOLTORB_1
0x463	EVENT_BEAT_POWER_PLANT_VOLTORB_2
0x464	EVENT_BEAT_POWER_PLANT_VOLTORB_3
0x465	EVENT_BEAT_POWER_PLANT_VOLTORB_4
0x466	EVENT_BEAT_POWER_PLANT_VOLTORB_5
0x467	EVENT_BEAT_POWER_PLANT_VOLTORB_6
0x468	EVENT_BEAT_POWER_PLANT_VOLTORB_7
0x469	EVENT_BEAT_ZAPDOS

; Route 11 events
 	const_next $470
0x470	const_skip
0x471	EVENT_BEAT_ROUTE_11_TRAINER_0
0x472	EVENT_BEAT_ROUTE_11_TRAINER_1
0x473	EVENT_BEAT_ROUTE_11_TRAINER_2
0x474	EVENT_BEAT_ROUTE_11_TRAINER_3
0x475	EVENT_BEAT_ROUTE_11_TRAINER_4
0x476	EVENT_BEAT_ROUTE_11_TRAINER_5
0x477	EVENT_BEAT_ROUTE_11_TRAINER_6
0x478	EVENT_BEAT_ROUTE_11_TRAINER_7
0x479	EVENT_BEAT_ROUTE_11_TRAINER_8
0x47A	EVENT_BEAT_ROUTE_11_TRAINER_9
0x47B	const_skip 4
0x47F	EVENT_GOT_ITEMFINDER

; Route 12 events
 	const_next $480
0x480	EVENT_GOT_TM39
0x481	const_skip
0x482	EVENT_BEAT_ROUTE_12_TRAINER_0
0x483	EVENT_BEAT_ROUTE_12_TRAINER_1
0x484	EVENT_BEAT_ROUTE_12_TRAINER_2
0x485	EVENT_BEAT_ROUTE_12_TRAINER_3
0x486	EVENT_BEAT_ROUTE_12_TRAINER_4
0x487	EVENT_BEAT_ROUTE_12_TRAINER_5
0x488	EVENT_BEAT_ROUTE_12_TRAINER_6
0x489	const_skip 5
0x48E	EVENT_FIGHT_ROUTE12_SNORLAX
0x48F	EVENT_BEAT_ROUTE12_SNORLAX

; Route 13 events
 	const_next $490
0x490	const_skip
0x491	EVENT_BEAT_ROUTE_13_TRAINER_0
0x492	EVENT_BEAT_ROUTE_13_TRAINER_1
0x493	EVENT_BEAT_ROUTE_13_TRAINER_2
0x494	EVENT_BEAT_ROUTE_13_TRAINER_3
0x495	EVENT_BEAT_ROUTE_13_TRAINER_4
0x496	EVENT_BEAT_ROUTE_13_TRAINER_5
0x497	EVENT_BEAT_ROUTE_13_TRAINER_6
0x498	EVENT_BEAT_ROUTE_13_TRAINER_7
0x499	EVENT_BEAT_ROUTE_13_TRAINER_8
0x49A	EVENT_BEAT_ROUTE_13_TRAINER_9

; Route 14 events
 	const_next $4A0
0x4A0	const_skip
0x4A1	EVENT_BEAT_ROUTE_14_TRAINER_0
0x4A2	EVENT_BEAT_ROUTE_14_TRAINER_1
0x4A3	EVENT_BEAT_ROUTE_14_TRAINER_2
0x4A4	EVENT_BEAT_ROUTE_14_TRAINER_3
0x4A5	EVENT_BEAT_ROUTE_14_TRAINER_4
0x4A6	EVENT_BEAT_ROUTE_14_TRAINER_5
0x4A7	EVENT_BEAT_ROUTE_14_TRAINER_6
