//----------------------------------------------------------------------	
//	汎用フラグ
//	(    1         -     99        )
//----------------------------------------------------------------------	
0x000	// FH_00
0x129	FE_D03_ACCE_GET
0x12A	FE_R206R0101_ACCE_GET
0x12B	FE_C02R0501_EVENT_CLEAR
0x12C	FE_R224_EVENT_CLEAR
0x12D	FE_C07R0101_MIDDLEMAN1_COIN_GET
0x12E	FE_C07R0101_BIGMAN1_COIN_GET
0x12F	FE_C07R0101_ITEM_GET
0x130	FE_C05R0901_POKEMON_GET
0x131	FE_C05R0901_TALK
0x132	FE_D15_UNSEAL
0x133	FE_T05R0201_MEGANE_01_GET
0x134	FE_T05R0201_MEGANE_02_GET
0x135	FE_T05R0201_MEGANE_03_GET
0x136	FE_R221R0201_ITEM_KEEP
0x137	FE_D04R0101_ITEM_GET
0x138	FE_R212AR0102_ITEM_GET
0x139	FE_L02R0201_ITEM_GET
0x13A	FE_R217R0201_ITEM_GET
0x13B	FE_C02R0401_START
0x13C	FE_C01R0202_ACCE_GET
0x13D	FE_L02_GINGA_WIN
0x13E	FE_R208_ITEM_GET
0x13F	FE_C06R0601_ITEM_GET_STYLE
0x140	FE_C06R0601_ITEM_GET_BEAUTIFUL
0x141	FE_C06R0601_ITEM_GET_CUTE
0x142	FE_C06R0601_ITEM_GET_CLEVER
0x143	FE_C06R0601_ITEM_GET_STRONG
0x144	FE_T05R0101_OLDWOMAN1
0x145	FE_SUPPORT_POKETORE_1
0x146	FE_SUPPORT_POKETORE_2
0x147	FE_SUPPORT_POKETORE_3
0x148	FE_D25R0106_SPPOKE_CLEAR
0x149	FE_C05_GOODS_01
0x14A	FE_C05_GOODS_02
0x14B	FE_C05_GOODS_03
0x14C	FE_C05_GOODS_04
0x14D	FE_C05_GOODS_05
0x14E	FE_C05_GOODS_06
0x14F	FE_C05_GOODS_07
0x150	FE_C05_GOODS_08
0x151	FE_C05_GOODS_09
0x152	FE_C05_GOODS_10
0x153	FE_C05_GOODS_11
0x154	FE_C05_GOODS_12
0x155	FE_C05_GOODS_13
0x156	FE_C05_GOODS_14
0x157	FE_D30R0101_LEGEND_CLEAR
0x158	FE_C05R1101_POFIN_INFOMATION
0x159	FE_C05R1101_POFIN_GET
0x15A	FE_C05_ALL_GOODS_GET
0x15B	FE_T01R0201_GAMECLEAR_KISSAKI
0x15C	FE_T01R0201_GAMECLEAR_ZUKAN
0x15D	FE_D05R0114_CLEAR
0x15E	FE_D05R0114_SPPOKE_GET
0x15F	FE_D06R0206_ITEM_GET
0x160	FE_R213R0501_MYSTERY_TALK
0x161	FE_C08R0801_TALK
0x162	FE_R212AR0103_RICH_TALK
0x163	FE_R212AR0103_BUTLER_TALK

//----------------------------------------------------------------------	
//	バニッシュフラグ
//	
//	(FV_FLAG_START -FH_FLAG_START)
//	(    400       -    729      )
//----------------------------------------------------------------------	
0x190	FV_R201_RIVAL
0x191	FV_T02_DOCTOR
0x192	FV_T01_RIVAL
0x193	FV_D27R0101_DOCTOR
0x194	FV_D27R0101_KABAN
0x195	FV_T02_SUPPORT
0x196	FV_R201_DOCTOR
0x197	FV_R201_SUPPORT
0x198	FV_C01_SUPPORT
0x199	FV_R203_RIVAL
0x19A	FV_C03_RIVAL
0x19B	// FV_T03_GINGA_BOSS
0x19C	FV_C05R0701_STOPPER
0x19D	FV_HATSUDEN_GINGA
0x19E	FV_C04_CHAMP
0x19F	FV_C04_GINGA_KANBU
0x1A0	FV_C04_DOCTOR
0x1A1	FV_C04_GYM_TRAINER1
0x1A2	FV_C04_GYM_TRAINER2
0x1A3	FV_C04_GYM_TRAINER3
0x1A4	FV_C04_GYM_TRAINER4
0x1A5	FV_C04_GYM_LEADER
0x1A6	FV_R202_SUPPORT
0x1A7	FV_C01R0201_SUPPORT
0x1A8	FV_D01R0102_LEADER
0x1A9	FV_C01_SUNGLASSES
0x1AA	FV_C01_ASSISTANTM
0x1AB	FV_T01_MAMA
0x1AC	FV_D02_GINGAM_A
0x1AD	FV_D27R0101_POKE
0x1AE	FV_C04_GINGAM
0x1AF	FV_C04R0204_GKANBU
0x1B0	FV_C04R0101_MIDDLEM
0x1B1	FV_C04R0101_POKE
0x1B2	FV_D27R0101_SUPPORT
0x1B3	FV_L01_RIVAL
0x1B4	FV_D27R0101_RIVAL
0x1B5	FV_T02_RIVAL
0x1B6	FV_T02R0101_DOCTOR
0x1B7	FV_T02R0101_SUPPORT
0x1B8	FV_C03_BOY1
0x1B9	FV_D03R0101_SEVEN1
0x1BA	FV_C01_GINGA
0x1BB	FV_C01_DOCTOR
0x1BC	FV_D13R0101_ITEM
0x1BD	FV_D13R0101_GINGAM_A
0x1BE	FV_D13R0101_GINGAM_B
0x1BF	FV_T03_GINGAM
0x1C0	FV_R205A_GINGAM
0x1C1	FV_T03_GINGABOSS
0x1C2	FV_D02R0101_GINGAM
0x1C3	FV_D02R0101_GINGALEADER1
0x1C4	FV_D02R0101_GINGA_ALL
0x1C5	FV_UG_MOUNT
0x1C6	FV_C07_SUPPORT
0x1C7	FV_C06_RIVAL
0x1C8	FV_C05_CHAMP
0x1C9	FV_D05R0101_GINGABOSS
0x1CA	FV_T05_OLDWOMAN
0x1CB	FV_L02_CHAMP
0x1CC	FV_L02_GINGAM
0x1CD	FV_T05_GINGAM
0x1CE	FV_R210A_POKE
0x1CF	FV_R210A_CHAMP
0x1D0	FV_C02_RIVAL
0x1D1	FV_C02_DOCTOR
0x1D2	FV_C02_SEAMAN
0x1D3	FV_C02_SUPPORT
0x1D4	FV_C02R0103_SUPPORT
0x1D5	FV_C02R0103_DOCTOR
0x1D6	FV_C02R0103_RIVAL
0x1D7	FV_D29R0102_RIVAL
0x1D8	FV_D29R0102_GKANBU2
0x1D9	// FV_D27R0101_GKANBU1
0x1DA	FV_D28R0101_GINGA
0x1DB	FV_T05_GINGABOSS
0x1DC	FV_D26R0104_GINGABOSS
0x1DD	FV_C07_GINGAM
0x1DE	FV_D27R0102_GKANBU
0x1DF	FV_D28R0101_KOIKING
0x1E0	// FV_D27R0101_DOCTOR
0x1E1	FV_T05R0101_OLDWOMAN
0x1E2	FV_D05R0114_SPPOKE_01
0x1E3	FV_D05R0114_RIVAL
0x1E4	FV_D05R0114_SUPPORT
0x1E5	FV_D05R0114_DOCTOR
0x1E6	FV_D05R0114_GINGAM
0x1E7	FV_D05R0114_GINGAKANBU
0x1E8	FV_D05R0114_GINGABOSS
0x1E9	FV_D31R0205_TRAINER
0x1EA	FV_R207_SUPPORT
0x1EB	FV_R222_WORKMAN
0x1EC	FV_D05R0114_POKE_L01
0x1ED	FV_D05R0114_POKE_L02
0x1EE	FV_D05R0114_POKE_L03
0x1EF	FV_T04R0101_SUNGLASSES
0x1F0	FV_R221R0101_OOKIDO
0x1F1	FV_C11_RIVAL
0x1F2	FV_C11_SEVEN2
0x1F3	FV_T06_SEVEN2
0x1F4	FV_T06R0101_SEVEN2
0x1F5	FV_R227_RIVAL
0x1F6	FV_R227_GYMLEADER
0x1F7	FV_D16R0101_RIVAL
0x1F8	FV_D16R0102_SEVEN5
0x1F9	FV_D16R0103_SEVEN2
0x1FA	FV_D16R0103_RIVAL
0x1FB	FV_D16R0103_HIIDORAN
0x1FC	FV_D16R0103_KAZANNOOKIISI
0x1FD	FV_D27R0103_AI
0x1FE	FV_D28R0103_HAI
0x1FF	FV_D29R0103_REI
0x200	FV_D11R0101_PIKACHU
0x201	FV_D11R0101_ATYAMO
0x202	FV_D21R0101_SEVEN2
0x203	FV_D24R0105_SEVEN3
0x204	FV_D09R0104_SEVEN4
0x205	FV_D24R0105_GINGAM
0x206	FV_D09R0101_STOPPER
0x207	FV_D31R0201_PRIZEMAN
0x208	FV_D31R0206_TRAINER01
0x209	FV_D31R0206_TRAINER02
0x20A	FV_D31R0207_SEVEN1
0x20B	FV_D31R0207_SEVEN2
0x20C	FV_D31R0207_SEVEN3
0x20D	FV_D31R0207_SEVEN4
0x20E	FV_D31R0207_SEVEN5
0x20F	FV_T01R0201_RIVALMAMA
0x210	FV_T01R0102_RIVAL
0x211	FV_C09_GYMLEADER
0x212	FV_C01R0701_RIVAL
0x213	FV_C01_CROWN
0x214	FV_C01_POKETCH
0x215	FV_C01R0101_POKETCH
0x216	FV_R205A_BABYGIRL1
0x217	FV_D02R0101_BABYGIRL1
0x218	FV_C08R0101_SEAMAN
0x219	FV_C08R0101_SUNGLASSES
0x21A	FV_D03R0101_LEADER
0x21B	FV_C04_GINGA
0x21C	FV_C04PC0101_GONBE
0x21D	FV_C04R0204_MIDDLEM
0x21E	FV_C04R0101_PIPPI
0x21F	FV_C05R1102_CON1
0x220	FV_C05R1102_CON2
0x221	FV_C05R1102_CON3
0x222	FV_C05R1102_CON4
0x223	FV_C05R1102_CON5
0x224	FV_C05_STOPPER
0x225	FV_C05_RIVAL
0x226	FV_C05R1101_MAMA
0x227	FV_C05R1101_JUDGE
0x228	FV_MYSTERY_POSTMAN
0x229	FV_D02_FUUSEN
0x22A	FV_C06_GINGAM
0x22B	FV_TV_INTERVIEW_01
0x22C	FV_TV_INTERVIEW_02
0x22D	FV_TV_INTERVIEW_03
0x22E	FV_TV_INTERVIEW_04
0x22F	FV_TV_INTERVIEW_05
0x230	FV_TV_INTERVIEW_06
0x231	FV_TV_INTERVIEW_07
0x232	FV_TV_INTERVIEW_08
0x233	FV_TV_INTERVIEW_09
0x234	FV_TV_INTERVIEW_10
0x235	FV_TV_INTERVIEW_11
0x236	FV_TV_INTERVIEW_12
0x237	FV_TV_INTERVIEW_13
0x238	FV_R213_GINGAM
0x239	FV_L02_GINGAM_1
0x23A	FV_R218R0201_ASSISTANTM
0x23B	FV_C10R0101_RIVAL
0x23C	FV_T04R0501_BABYBOY1
0x23D	FV_D07R0105_BABYBOY1
0x23E	FV_C05_EGG
0x23F	FV_C04GYM0101_LEADER
0x240	FV_C04R0401_ASSISTANTM
0x241	FV_C07_GINGAM_3
0x242	FV_D26R0101_DOOR
0x243	FV_D26R0103_DOOR
0x244	FV_D26R0104_DOOR
0x245	FV_D26R0106_DOOR
0x246	FV_C07R0301_BAR
0x247	FV_T05R0501_OLDWOMAN
0x248	FV_T02R0101_OOKIDO
0x249	FV_D11R0101_PIPPI
0x24A	FV_D11R0101_KODAKKU
0x24B	FV_D11R0101_PATIRISSU
0x24C	FV_D11R0101_HUUSEN
0x24D	FV_D11R0101_MIMITTO
0x24E	FV_D11R0101_KORAKII
0x24F	FV_D11R0101_PURIN
0x250	FV_D11R0101_ENEKO
0x251	FV_D11R0101_KINOKOKO
0x252	FV_L03_GINGAM
0x253	FV_D05R0102_STOPPER
0x254	FV_D26R0107_POKE
0x255	FV_D26R0107_GKANBU
0x256	FV_C01_CROWN3
0x257	FV_C08_LEADER
0x258	FV_C10R0112_CHAMP
0x259	FV_C10R0112_DOCTOR
0x25A	FV_C05_JUDGE
0x25B	FV_C05_POKE
0x25C	FV_C05_LEADER
0x25D	FV_STOPPER_FRIENDBOOK
0x25E	FV_D30R0101_SPPOKE7
0x25F	FV_C02R0401_EVENT
0x260	FV_C04R0601_OOKIDO
0x261	FV_D20R0106_LEGEND
0x262	FV_L02R0101_COUPLE1
0x263	FV_L02R0101_COUPLE2
0x264	FV_L02R0101_COUPLE3
0x265	FV_L02R0101_COUPLE4
0x266	FV_L02R0101_COUPLE5
0x267	FV_L02R0101_COUPLE6
0x268	FV_L02R0101_COUPLE7
0x269	FV_L02R0101_COUPLE8
0x26A	FV_L02R0101_COUPLE9
0x26B	FV_D24R0201_LEADER
0x26C	FV_D05R0116_LEGEND
0x26D	FV_D15R0101_LEGEND
0x26E	FV_D17R0104_LEGEND
0x26F	FV_D18_LEGEND
0x270	FV_R224_OOKIDO
0x271	FV_C01R0201_SUNDAY
0x272	FV_C01R0201_MONDAY
0x273	FV_C01R0201_TUESDAY
0x274	FV_C01R0201_WEDNESDAY
0x275	FV_C01R0201_THURSDAY
0x276	FV_C01R0201_THURSDAY2
0x277	FV_C01R0201_FRIDAY
0x278	FV_C01R0201_SATURDAY
0x279	FV_C02R0501_SEAMAN
0x27A	FV_R224_LEGEND
0x27B	FV_L02_WOMAN2
0x27C	FV_L02R0201_WOMAN2
0x27D	FV_R217R0201_WOMAN1
0x27E	FV_R212A_POLICE1_NPC
0x27F	FV_R212A_POLICE1_TR
0x280	FV_R212A_POLICE2_NPC
0x281	FV_R212A_POLICE2_TR
0x282	FV_R212A_POLICE3_NPC
0x283	FV_R212A_POLICE3_TR
0x284	FV_R212A_POLICE4_NPC
0x285	FV_R212A_POLICE4_TR
0x286	FV_R212B_POLICE5_NPC
0x287	FV_R212B_POLICE5_TR
0x288	FV_R222_POLICE6_NPC
0x289	FV_R222_POLICE6_TR
0x28A	FV_R209_JOGGER1_NPC
0x28B	FV_R209_JOGGER1_TR
0x28C	FV_R209_JOGGER6_NPC
0x28D	FV_R209_JOGGER6_TR
0x28E	FV_R210A_JOGGER4_NPC
0x28F	FV_R210A_JOGGER4_TR
0x290	FV_R215_JOGGER3_NPC
0x291	FV_R215_JOGGER3_TR
0x292	FV_R215_JOGGER5_NPC
0x293	FV_R215_JOGGER5_TR
0x294	FV_D31_TOWERBOSS
0x295	FV_D31_RIVAL
0x296	FV_D17R0104_ITEM
0x297	FV_D30_SEAMAN
0x298	FV_C09_SEAMAN
0x299	FV_D25R0102_OLDMAN2
0x29A	FV_D25R0108_BABYGIRL1
0x29B	FV_L02_BIGMAN
0x29C	FV_D09R0101_BIGMAN
0x29D	FV_R221_STOPPER1
0x29E	FV_R221_STOPPER2
0x29F	FV_C08R0801_LEADER
0x2A0	FV_C10R0103_DOOR_01
0x2A1	FV_C10R0105_DOOR_01
0x2A2	FV_C10R0107_DOOR_01
0x2A3	FV_C10R0109_DOOR_01
0x2A4	FV_C10R0103_DOOR_02
0x2A5	FV_C10R0105_DOOR_02
0x2A6	FV_C10R0107_DOOR_02
0x2A7	FV_C10R0109_DOOR_02
0x2A8	// FV_C08_LEADER
0x2A9	FV_R212AR0103_POLICEMAN
0x2AA	FV_D27R0102_DOCTOR
0x2AB	FV_D27R0102_SUPPORT
0x2AC	FV_R227_SEVEN2
0x2AD	FV_D05R0110_GINGAM
0x2AE	FV_C01R0206_STOP
0x2AF	FV_C01R0207_STOP
0x2B0	FV_D26R0101_GKANBU
0x2B1	FV_D29R0101_RIVAL
0x2B2	FV_C11_STOP
0x2B3	FV_D05R0112_GINGAW
0x2B4	FV_D27R0103_DOCTOR


//----------------------------------------------------------------------	
//	隠しアイテムのフラグ(256個)
//	
//	(FH_FLAG_START -FB_FLAG_START)
//	(    730      -    986      )
//----------------------------------------------------------------------	
//	
//	
0x2DA	FV_FLD_HIDDEN_ITEM_0
0x2DB	FV_FLD_HIDDEN_ITEM_1
0x2DC	FV_FLD_HIDDEN_ITEM_2
0x2DD	FV_FLD_HIDDEN_ITEM_3
0x2DE	FV_FLD_HIDDEN_ITEM_4
0x2DF	FV_FLD_HIDDEN_ITEM_5
0x2E0	FV_FLD_HIDDEN_ITEM_6
0x2E1	FV_FLD_HIDDEN_ITEM_7
0x2E2	FV_FLD_HIDDEN_ITEM_8
0x2E3	FV_FLD_HIDDEN_ITEM_9
0x2E4	FV_FLD_HIDDEN_ITEM_10
0x2E5	FV_FLD_HIDDEN_ITEM_11
0x2E6	FV_FLD_HIDDEN_ITEM_12
0x2E7	FV_FLD_HIDDEN_ITEM_13
0x2E8	FV_FLD_HIDDEN_ITEM_14
0x2E9	FV_FLD_HIDDEN_ITEM_15
0x2EA	FV_FLD_HIDDEN_ITEM_16
0x2EB	FV_FLD_HIDDEN_ITEM_17
0x2EC	FV_FLD_HIDDEN_ITEM_18
0x2ED	FV_FLD_HIDDEN_ITEM_19
0x2EE	FV_FLD_HIDDEN_ITEM_20
0x2EF	FV_FLD_HIDDEN_ITEM_21
0x2F0	FV_FLD_HIDDEN_ITEM_22
0x2F1	FV_FLD_HIDDEN_ITEM_23
0x2F2	FV_FLD_HIDDEN_ITEM_24
0x2F3	FV_FLD_HIDDEN_ITEM_25
0x2F4	FV_FLD_HIDDEN_ITEM_26
0x2F5	FV_FLD_HIDDEN_ITEM_27
0x2F6	FV_FLD_HIDDEN_ITEM_28
0x2F7	FV_FLD_HIDDEN_ITEM_29
0x2F8	FV_FLD_HIDDEN_ITEM_30
0x2F9	FV_FLD_HIDDEN_ITEM_31
0x2FA	FV_FLD_HIDDEN_ITEM_32
0x2FB	FV_FLD_HIDDEN_ITEM_33
0x2FC	FV_FLD_HIDDEN_ITEM_34
0x2FD	FV_FLD_HIDDEN_ITEM_35
0x2FE	FV_FLD_HIDDEN_ITEM_36
0x2FF	FV_FLD_HIDDEN_ITEM_37
0x300	FV_FLD_HIDDEN_ITEM_38
0x301	FV_FLD_HIDDEN_ITEM_39
0x302	FV_FLD_HIDDEN_ITEM_40
0x303	FV_FLD_HIDDEN_ITEM_41
0x304	FV_FLD_HIDDEN_ITEM_42
0x305	FV_FLD_HIDDEN_ITEM_43
0x306	FV_FLD_HIDDEN_ITEM_44
0x307	FV_FLD_HIDDEN_ITEM_45
0x308	FV_FLD_HIDDEN_ITEM_46
0x309	FV_FLD_HIDDEN_ITEM_47
0x30A	FV_FLD_HIDDEN_ITEM_48
0x30B	FV_FLD_HIDDEN_ITEM_49
0x30C	FV_FLD_HIDDEN_ITEM_50
0x30D	FV_FLD_HIDDEN_ITEM_51
0x30E	FV_FLD_HIDDEN_ITEM_52
0x30F	FV_FLD_HIDDEN_ITEM_53
